-1.337e-07,0.0008022
7.033e-11,-6.031e-07,0.001506
-4.057e-14,4.509e-10,-1.69e-06,0.002409
2.493e-17,-3.399e-13,1.698e-09,-3.766e-06,0.003519
-1.561e-20,2.524e-16,-1.579e-12,4.791e-09,-7.194e-06,0.0048
1.019e-23,-1.904e-19,1.429e-15,-5.502e-12,1.147e-08,-1.253e-05,0.006275
-6.909e-27,1.464e-22,-1.282e-18,5.982e-15,-1.602e-11,2.463e-08,-2.05e-05,0.007982
4.765e-30,-1.13e-25,1.132e-21,-6.22e-18,2.042e-14,-4.084e-11,4.857e-08,-3.195e-05,0.009943
-3.261e-33,8.557e-29,-9.645e-25,6.103e-21,-2.378e-17,5.885e-14,-9.209e-11,8.781e-08,-4.706e-05,0.01205
2.192e-36,-6.313e-32,7.919e-28,-5.677e-24,2.565e-20,-7.59e-17,1.482e-13,-1.878e-10,1.475e-07,-6.597e-05,0.01423
