-1.203e-11,8.166e-06
4.967e-17,-4.983e-11,1.382e-05
-1.905e-22,2.641e-16,-1.206e-10,2.031e-05
8.903e-28,-1.523e-21,9.381e-16,-2.52e-10,2.834e-05
-4.35e-33,8.957e-27,-7.044e-21,2.644e-15,-4.83e-10,3.887e-05
2.265e-38,-5.452e-32,5.218e-26,-2.529e-20,6.543e-15,-8.728e-10,5.262e-05
-1.219e-43,3.352e-37,-3.779e-31,2.249e-25,-7.598e-20,1.455e-14,-1.487e-09,6.967e-05
6.934e-49,-2.142e-42,2.775e-36,-1.957e-30,8.172e-25,-2.057e-19,3.042e-14,-2.451e-09,9.115e-05
-4.597e-54,1.575e-47,-2.304e-41,1.877e-35,-9.331e-30,2.914e-24,-5.68e-19,6.633e-14,-4.251e-09,0.0001244
2.677e-59,-1.014e-52,1.664e-46,-1.553e-40,9.065e-35,-3.439e-29,8.521e-24,-1.351e-18,1.304e-13,-6.948e-09,0.0001666
