-1.34e-07,0.0008035
7.065e-11,-6.047e-07,0.001507
-4.075e-14,4.517e-10,-1.689e-06,0.002406
2.489e-17,-3.388e-13,1.691e-09,-3.748e-06,0.003505
-1.599e-20,2.575e-16,-1.605e-12,4.845e-09,-7.241e-06,0.00481
1.061e-23,-1.975e-19,1.477e-15,-5.662e-12,1.175e-08,-1.276e-05,0.006343
-7.123e-27,1.505e-22,-1.314e-18,6.119e-15,-1.635e-11,2.507e-08,-2.082e-05,0.00807
4.872e-30,-1.152e-25,1.15e-21,-6.301e-18,2.063e-14,-4.116e-11,4.887e-08,-3.212e-05,0.009993
-3.354e-33,8.771e-29,-9.852e-25,6.212e-21,-2.412e-17,5.949e-14,-9.28e-11,8.824e-08,-4.719e-05,0.01208
2.266e-36,-6.503e-32,8.13e-28,-5.808e-24,2.615e-20,-7.713e-17,1.501e-13,-1.896e-10,1.484e-07,-6.619e-05,0.01425
